Contig	T0-R-Dry-soil-A Mean	T0-R-Dry-soil-B Mean	T0-R-Dry-soil-C Mean	T1-R-H218O-A Mean	T1-R-H218O-B Mean	T1-R-H218O-C Mean	T1-R-H218O-P-A Mean	T1-R-H218O-P-B Mean	T1-R-H218O-P-C Mean	T1-R-H2O-A Mean	T1-R-H2O-B Mean	T1-R-H2O-C Mean	T1-R-H2O-P-A Mean	T1-R-H2O-P-B Mean	T1-R-H2O-P-C Mean	T2-R-H218O-A Mean	T2-R-H218O-B Mean	T2-R-H218O-C Mean	T2-R-H218O-P-A Mean	T2-R-H218O-P-B Mean	T2-R-H218O-P-C Mean	T2-R-H2O-A Mean	T2-R-H2O-B Mean	T2-R-H2O-C Mean	T2-R-H2O-P-A Mean	T2-R-H2O-P-B Mean	T2-R-H2O-P-C Mean	T3-R-H218O-A Mean	T3-R-H218O-B Mean	T3-R-H218O-C Mean	T3-R-H218O-P-A Mean	T3-R-H218O-P-B Mean	T3-R-H218O-P-C Mean	T3-R-H2O-A Mean	T3-R-H2O-B Mean	T3-R-H2O-C Mean	T3-R-H2O-P-A Mean	T3-R-H2O-P-B Mean	T3-R-H2O-P-C Mean
NODE_1039_length_26115_cov_10.193381__full	0	0	0	0.0061621414	0	0	0	0	0	0.009705372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0093972655	0	0	0	0
NODE_1047_length_25990_cov_10.546290__full	0	0.009365325	0	0.01857585	0.02244582	0.14229876	0.08490712	0.06733746	0	0.07639319	0.028057275	0.06625387	0.11578947	0.030417956	0.04489164	0	0.02244582	0.01122291	0.01122291	0.02012384	0	0.075541794	0.04024768	0.08978328	0.04489164	0.01122291	0.010835913	0	0	0.01122291	0.02995356	0	0	0.02244582	0.037190404	0.05611455	0.028057275	0.055727553	0
NODE_1048_length_25934_cov_17.435727__full	0	0	0	0.066785604	0.009152963	0.033780638	0.04634657	0.08997828	0.063411415	0.041110765	0.04002482	0.033625506	0.09323612	0.19174682	0.11452839	0	0	0.011247285	0.011247285	0.008609991	0.04219671	0.028118214	0	0	0	0.056236427	0.013070121	0	0.011247285	0	0	0.011247285	0.033741854	0.010006205	0	0.0109370155	0.031569965	0.0063605336	0
NODE_1052_length_25891_cov_8.283111__full	0	0	0	0	0	0	0	0	0	0	0	0	0.022532146	0	0.01616099	0	0	0	0	0.011149528	0	0.008624374	0.011266073	0	0	0	0	0	0.011266073	0	0	0	0	0	0	0	0	0.011266073	0
NODE_1057_length_25766_cov_6.502864__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1062_length_25674_cov_30.500841__full	0	0	0	0.011361855	0	0	0	0	0	0.04113775	0	0	0	0	0.007522332	0	0	0	0	0	0	0	0	0	0.034085568	0	0	0.011361855	0	0	0	0	0	0	0	0	0	0	0
NODE_1064_length_25665_cov_7.757217__full	0	0	0	0	0.0113658635	0	0	0	0	0	0	0	0	0.0056829317	0	0.006584362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1065_length_25658_cov_10.912790__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009252	0	0	0	0
NODE_1070_length_25522_cov_9.858829__full	0	0	0	0	0	0	0	0	0	0	0.011429923	0.018287877	0.015450102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022859845	0.022859845	0	0	0	0
NODE_1076_length_25430_cov_12.817181__full	0.01028481	0.011471519	0.010047468	0.011471519	0.018037975	0	0.011155063	0	0	0	0	0.011471519	0.074564874	0.028678797	0.01898734	0.0057357596	0	0.011471519	0	0	0	0.03346519	0	0	0	0	0.018196203	0.0057357596	0.011471519	0	0.011471519	0.022428798	0.022943038	0.011471519	0.04572785	0.03789557	0	0.017207278	0.0069620255
NODE_1077_length_25424_cov_9.425469__full	0	0	0	0	0	0	0	0	0	0	0	0.011474242	0	0	0	0.009733323	0	0	0	0.022948485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1081_length_25359_cov_10.492320__full	0	0	0	0	0.010313777	0	0	0.023007656	0.005751914	0	0	0.009441073	0	0	0.023007656	0	0	0	0	0	0.011503828	0.023007656	0	0	0.023007656	0	0.00999643	0.020310206	0	0	0.024515053	0	0	0	0	0	0	0	0
NODE_1086_length_25249_cov_12.618012__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011554245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1094_length_25110_cov_9.530886__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01161859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1102_length_24918_cov_9.320118__full	0	0	0	0	0	0.026001291	0.007832687	0.01873385	0.02131783	0.008559432	0.023417313	0	0	0	0	0	0.009366925	0	0	0	0	0	0	0	0	0	0	0	0.023255814	0	0	0	0	0.011708656	0.011708656	0.015503876	0	0.00750969	0
NODE_1111_length_24748_cov_8.636983__full	0	0	0	0.023579152	0	0.043987315	0	0	0.009594276	0.053418975	0.023579152	0.058947884	0.023579152	0.008781202	0.005894788	0.05528905	0.051752176	0.011789576	0	0	0.005894788	0.15180096	0.13005123	0.022603463	0	0	0.09431661	0.0208147	0.011789576	0.047158305	0	0	0	0.03528742	0.03536873	0.019351168	0	0	0
NODE_1117_length_24676_cov_8.439964__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056266817	0	0	0	0	0	0	0	0.011253363	0	0	0	0	0	0	0	0	0	0	0
NODE_1119_length_24615_cov_8.100873__full	0	0	0	0	0	0	0	0	0	0	0.0059268344	0	0	0	0	0	0	0	0	0	0	0	0.0059268344	0	0	0	0	0	0	0	0	0	0	0.017780503	0	0	0	0	0
NODE_1121_length_24585_cov_7.609042__full	0	0	0	0.043871496	0.011868222	0	0	0	0	0.011868222	0.011868222	0.022181297	0	0	0	0	0	0.050705954	0	0	0	0.03372212	0.06728054	0.065152444	0	0	0	0.015878862	0.05934111	0.035604667	0	0	0	0.05885001	0.060732555	0.011868222	0	0	0
NODE_1129_length_24470_cov_14.582085__full	0	0	0	0.030345395	0.005962171	0.057154607	0.011924342	0.011924342	0.011924342	0.023848685	0.011924342	0	0.011924342	0	0.005962171	0	0	0	0.011924342	0	0	0.023848685	0.029810855	0	0	0.011924342	0	0.011924342	0	0	0.0110197365	0.011924342	0	0.035773028	0	0	0.011924342	0	0
