Contig	T0_A Trimmed Mean	T0_B Trimmed Mean	T0_C Trimmed Mean	T1H218OP_A Trimmed Mean	T1H218OP_B Trimmed Mean	T1H218OP_C Trimmed Mean	T1H218O_A Trimmed Mean	T1H218O_B Trimmed Mean	T1H218O_C Trimmed Mean	T1H2OP_A Trimmed Mean	T1H2OP_B Trimmed Mean	T1H2OP_C Trimmed Mean	T1H2O_A Trimmed Mean	T1H2O_B Trimmed Mean	T1H2O_C Trimmed Mean	T2H218OP_A Trimmed Mean	T2H218OP_B Trimmed Mean	T2H218OP_C Trimmed Mean	T2H218O_A Trimmed Mean	T2H218O_B Trimmed Mean	T2H218O_C Trimmed Mean	T2H2OP_A Trimmed Mean	T2H2OP_B Trimmed Mean	T2H2OP_C Trimmed Mean	T2H2O_A Trimmed Mean	T2H2O_B Trimmed Mean	T2H2O_C Trimmed Mean	T3H218OP_A Trimmed Mean	T3H218OP_B Trimmed Mean	T3H218OP_C Trimmed Mean	T3H218O_B Trimmed Mean	T3H218O_C Trimmed Mean	T3H2OP_A Trimmed Mean	T3H2OP_B Trimmed Mean	T3H2OP_C Trimmed Mean	T3H2O_A Trimmed Mean	T3H2O_B Trimmed Mean	T3H2O_C Trimmed Mean
NODE_2931_length_16198_cov_10.810609__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.138397	27.16062	15.884243	8.746676	15.18506	0	0	9.635973	0	0	0	5.3499722	0	0	0	0	0	0	0	0	0	0
NODE_2932_length_16197_cov_13.826562__full	0	0	0	0	0	0	0	63.011562	0	0	0	0	0	0	0	0	54.51305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_2934_length_16196_cov_17.481891__full	0	0	0	0	55.333263	0	0	0	0	0	0	0	0	0	0	39.332363	88.09057	33.844273	17.586346	7.2416563	23.965933	7.3421273	9.542861	25.89122	0	8.995014	0	4.300305	0	11.745464	0	0	0	0	0	0	30.47902	0
NODE_2935_length_16188_cov_12.802163__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.51247	64.86859	41.771267	15.341369	0	0	3.552092	0	12.778609	0	0	4.4769325	0	0	6.1055694	0	0	0	0	0	0	0	0
NODE_2936_length_16187_cov_11.172240__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.961412	18.573051	14.934742	5.6135087	20.22868	28.993765	9.8938	57.09581	2.31292	15.427087	0	5.2802215	8.161967	12.046276	8.504191	0	0	0	10.951853	0	0	0
NODE_2937_length_16185_cov_6.977372__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.022587	23.983372	25.526987	10.718146	29.417446	4.902307	12.00783	16.46567	4.1779256	15.122636	4.5298967	3.2749949	3.8756323	6.0435805	4.8750086	11.562391	0	0	0	0	0	0
NODE_2940_length_16178_cov_8.205485__full	0	0	0	32.894566	0	27.812698	0	0	0	0	0	0	0	0	0	20.310064	17.67406	24.82178	15.93068	10.7524605	26.141203	5.0971856	13.996811	9.799252	6.434424	15.266949	3.4313738	3.3274643	4.143283	7.807639	6.18945	13.822404	36.132954	10.238043	12.758076	31.220228	23.9033	19.139471
NODE_2943_length_16177_cov_8.211345__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.863085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_2947_length_16174_cov_7.228802__full	0	0	0	0	0	0	0	0	0	0	0	0	0	26.496464	0	24.234503	39.647205	31.094786	14.834073	8.740812	30.445778	5.138954	0	14.092983	0	0	0	0	0	6.5432673	5.940577	0	0	0	0	0	0	0
NODE_2952_length_16151_cov_13.002180__full	0	0	0	54.534893	0	49.086037	0	0	0	15.148878	0	0	0	0	16.10916	15.444413	38.497814	34.512257	21.008749	10.424693	72.13027	7.153184	17.476633	32.12395	6.5708632	7.9897227	0	7.418443	6.2276926	7.93799	0	0	13.995556	19.00014	0	0	0	0
