Contig	T0-E-Dry-soil-A Mean	T0-E-Dry-soil-B Mean	T0-E-Dry-soil-C Mean	T1-E-H218O-A Mean	T1-E-H218O-B Mean	T1-E-H218O-C Mean	T1-E-H218O-P-A Mean	T1-E-H218O-P-B Mean	T1-E-H218O-P-C Mean	T1-E-H2O-A Mean	T1-E-H2O-B Mean	T1-E-H2O-C Mean	T1-E-H2O-P-A Mean	T1-E-H2O-P-B Mean	T1-E-H2O-P-C Mean	T2-E-H218O-A Mean	T2-E-H218O-B Mean	T2-E-H218O-C Mean	T2-E-H218O-P-A Mean	T2-E-H218O-P-B Mean	T2-E-H218O-P-C Mean	T2-E-H2O-A Mean	T2-E-H2O-B Mean	T2-E-H2O-C Mean	T2-E-H2O-P-A Mean	T2-E-H2O-P-B Mean	T2-E-H2O-P-C Mean	T3-E-H218O-A Mean	T3-E-H218O-B Mean	T3-E-H218O-C Mean	T3-E-H218O-P-A Mean	T3-E-H218O-P-B Mean	T3-E-H218O-P-C Mean	T3-E-H2O-A Mean	T3-E-H2O-B Mean	T3-E-H2O-C Mean	T3-E-H2O-P-A Mean	T3-E-H2O-P-B Mean	T3-E-H2O-P-C Mean
NODE_928_length_18937_cov_7.672789__full	1.427849	1.0100602	0	0	0	0	0	0	0	0.07451961	0	0	0	0	0	0.063873954	0	0	0	0	0	0.09304306	0	0.04471177	0	0.05961569	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_934_length_18801_cov_17.890921__full	0	0	0	0	0.030025199	0	0	0	0	0.030025199	0	0	0	0	0	0	0	0	0	0	0	0.0150125995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_945_length_18587_cov_6.868293__full	0.21261594	0.09871454	0	0	0	0	0	0	0	0.06074741	0	0	0	0	0	0.0075934264	0.015186853	0	0	0	0	0	0	0	0	0	0.015186853	0	0	0	0	0	0	0	0	0	0	0	0
NODE_947_length_18573_cov_4.590073__full	0.015198394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_949_length_18512_cov_7.001521__full	2.1363142	1.7459972	0	0	0.0152488835	0	0	0	0	2.2505174	0	0	0	0	0.03812221	0.12912537	0.16773772	0.0152488835	0	0	0	0.07624442	0	0.12732817	0	0.09911774	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_954_length_18416_cov_3.505050__full	0	0.061316106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_955_length_18392_cov_5.439950__full	1.2998027	1.7721741	0.015349194	0	0	0	0	0	0	0.09056024	0	0	0	0	0	0	0	0	0	0	0	0.03552242	0	0.015349194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_958_length_18372_cov_6.028676__full	0.9388651	0.7585885	0	0	0.030732082	0	0	0	0	0.21512458	0	0	0	0	0.03040281	0	0	0	0	0	0	0	0	0	0	0.038415104	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_968_length_18232_cov_3.940219__full	0.11514213	0	0	0	0	0	0	0	0	0.030970026	0	0	0	0	0	0	0.015485013	0	0	0	0	0.046455037	0	0	0	0.13936512	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_986_length_18011_cov_5.845969__full	1.0816864	0.9389172	0	0	0	0	0	0	0	0.031353228	0	0	0	0	0	0.007838307	0	0	0	0	0	0	0	0.007838307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
