file                               format  type     num_seqs         sum_len  min_len  avg_len  max_len
T2-E-H2O-P-B_R2_qcfilter.fq.gz     FASTQ   DNA     2,327,447     313,799,287       50    134.8      140
T2-E-H2O-P-C_R1_qcfilter.fq.gz     FASTQ   DNA       199,643      27,485,764       50    137.7      140
T2-E-H2O-P-C_R2_qcfilter.fq.gz     FASTQ   DNA       199,643      27,224,768       50    136.4      140
T3-E-H218O-A_R1_qcfilter.fq.gz     FASTQ   DNA        34,251       4,766,157       50    139.2      140
T3-E-H218O-A_R2_qcfilter.fq.gz     FASTQ   DNA        34,251       4,736,034       50    138.3      140
T3-E-H218O-B_R1_qcfilter.fq.gz     FASTQ   DNA        31,208       4,015,297       50    128.7      140
T3-E-H218O-B_R2_qcfilter.fq.gz     FASTQ   DNA        31,208       3,995,680       50      128      140
T3-E-H218O-C_R1_qcfilter.fq.gz     FASTQ   DNA        46,299       6,188,333       50    133.7      140
T3-E-H218O-C_R2_qcfilter.fq.gz     FASTQ   DNA        46,299       6,147,767       50    132.8      140
T3-E-H218O-P-A_R1_qcfilter.fq.gz   FASTQ   DNA           368          47,972       63    130.4      140
T3-E-H218O-P-A_R2_qcfilter.fq.gz   FASTQ   DNA           368          47,923       63    130.2      140
T3-E-H218O-P-B_R1_qcfilter.fq.gz   FASTQ   DNA           550          76,412       84    138.9      140
T3-E-H218O-P-B_R2_qcfilter.fq.gz   FASTQ   DNA           550          76,319       84    138.8      140
T3-E-H218O-P-C_R1_qcfilter.fq.gz   FASTQ   DNA           391          52,810       60    135.1      140
T3-E-H218O-P-C_R2_qcfilter.fq.gz   FASTQ   DNA           391          52,311       60    133.8      140
T3-E-H2O-A_R1_qcfilter.fq.gz       FASTQ   DNA       524,013      72,186,311       50    137.8      140
T3-E-H2O-A_R2_qcfilter.fq.gz       FASTQ   DNA       524,013      71,556,334       50    136.6      140
T3-E-H2O-B_R1_qcfilter.fq.gz       FASTQ   DNA           385          52,628       68    136.7      140
T3-E-H2O-B_R2_qcfilter.fq.gz       FASTQ   DNA           385          51,842       65    134.7      140
T3-E-H2O-C_R1_qcfilter.fq.gz       FASTQ   DNA         1,363         188,891       56    138.6      140
T3-E-H2O-C_R2_qcfilter.fq.gz       FASTQ   DNA         1,363         188,343       56    138.2      140
T3-E-H2O-P-A_R1_qcfilter.fq.gz     FASTQ   DNA         1,430         197,057       52    137.8      140
T3-E-H2O-P-A_R2_qcfilter.fq.gz     FASTQ   DNA         1,430         195,436       52    136.7      140
T3-E-H2O-P-B_R1_qcfilter.fq.gz     FASTQ   DNA         1,054         143,992       54    136.6      140
T3-E-H2O-P-B_R2_qcfilter.fq.gz     FASTQ   DNA         1,054         142,591       54    135.3      140
T3-E-H2O-P-C_R1_qcfilter.fq.gz     FASTQ   DNA        51,033       7,060,795       50    138.4      140
T3-E-H2O-P-C_R2_qcfilter.fq.gz     FASTQ   DNA        51,033       7,012,773       50    137.4      140
