"","T0.E.Dry.soil.A","T0.E.Dry.soil.B","T0.E.Dry.soil.C","T1.E.H218O.A","T1.E.H218O.B","T1.E.H218O.C","T1.E.H218O.P.A","T1.E.H218O.P.B","T1.E.H218O.P.C","T1.E.H2O.A","T1.E.H2O.B","T1.E.H2O.C","T1.E.H2O.P.A","T1.E.H2O.P.B","T1.E.H2O.P.C","T2.E.H218O.A","T2.E.H218O.B","T2.E.H218O.C","T2.E.H218O.P.A","T2.E.H218O.P.B","T2.E.H218O.P.C","T2.E.H2O.A","T2.E.H2O.B","T2.E.H2O.C","T2.E.H2O.P.A","T2.E.H2O.P.B","T2.E.H2O.P.C","T3.E.H218O.A","T3.E.H218O.B","T3.E.H218O.C","T3.E.H218O.P.A","T3.E.H218O.P.B","T3.E.H218O.P.C","T3.E.H2O.A","T3.E.H2O.B","T3.E.H2O.C","T3.E.H2O.P.A","T3.E.H2O.P.B","T3.E.H2O.P.C"
"NODE_10057_length_2900_cov_49.365584",0.00836976918499399,0.00735641968548185,0,0,0,0,0,0,0,4.03243951428482,0,0,0,0,0,0,0,0,0,0,0,1.21995300866928,0,0.549244106746284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_11790_length_3562_cov_5.864857",0,0,0,0,0,0,0,0,0,0.434802977874753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_13154_length_5912_cov_8.461724",0.000750326706314703,0.00300939468119647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772831791139955,0.365366349961149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_16626_length_3031_cov_4.094816",0.0120052275069106,0,0,0,0,0,0,0,0,0.159520498072016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_18667_length_3573_cov_6.956534",0.00336810404704882,0.0014654550721428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_25908_length_3298_cov_11.928728",0.0196850332080022,0.0266234575665221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_2637_length_5026_cov_31.537447",0.00236444220013764,0.00237081384722373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6344_length_3938_cov_19.412607",0.0220440992818639,0.0362070206685819,0,0,0,0,0,0,0,0.17332122773034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_7864_length_2745_cov_109.586168",0.0164620955847366,0.0211004230099881,0,0,0,0,0,0,0,6.5905275036794,0,0,0,0,0,0.278852287801964,0.202817035474601,1.26594937700046,0,0,0,2.58997073582902,0,0.57854425599263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6_length_121281_cov_168.096665__full_1",0.011388882993848,0.0120078736325133,0.0110880860605727,0,0,0,0,0,0,0.0117074899245856,0,0,0,0,0,0.0230618565322434,0.013348415714065,0.0138864214500024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_2_length_199986_cov_102.532136__full",0.000129756411004206,0.000209698559395957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_12_length_97136_cov_53.423921__full",0.0263466174536161,0.0280460957225028,0.0371889208175946,0,0,0,0,0,0,0.0126830275231863,0,0,0,0,0,0.0223832838277065,0.00997472194559955,0,0,0,0,0.0178747403499435,0,0.0366354899516133,0,0.0633828279112364,0.0527688983174209,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_19_length_79038_cov_85.620352__full",0.0553044735949878,0.0557723557943834,0.157943807630534,0,0,0,0,0,0,0.00826894059275079,0.0739938435608348,0,0,0.0672211578248177,0.0862087540325453,0.0268076804724398,0.0222387129980247,0,0,0,0,0.0132896906703915,0.324531392973403,0.0201844608188194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_21_length_77995_cov_70.244942__full",0.0130406683776992,0.013036165174934,0.0168484212097433,0,0,0,0,0,0,0.0267175476176909,0,0,0,0,0,0.00608304819476062,0.043721152011418,0.084402042483271,0,0,0,0.0538710062439575,0,0.0286368593214264,0.207389457412523,0.0820725708666728,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_29_length_66528_cov_77.461425__full",0.254581015939564,0.133450786062765,0.148192773465923,0,0,0,0,0,0,0.0049737300676137,0.263817506792238,0,0.0924151088115162,0.119835094768889,0.256140459167874,0.00999107234466433,0.038549975933211,0,0,0,0,0,0.771389078297793,0.0325216117947564,0,0.0503053228419955,0.0771015167609776,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_34_length_63571_cov_98.927433__full",0.0431339714058978,0.0448233140129536,0.0413606050805658,0,0,0,0,0,0,0.0511541861205155,0,0,0.177327259908249,0,0.0119148001554736,0.0429686030174411,0.0470258226977833,0,0,0,0,0.0392605476866258,0,0.0188302566367455,0.254556585679316,0.0105301615388902,0.322785510475387,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_38_length_58139_cov_75.019125__full",0.0289245846240545,0.0363377085006126,0,0,0,0,0,0,0,0.0276777986010929,0.100660924114641,0,0,0,0,0.00959892582217915,0.0121013812373231,0.0566510645268557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_39_length_57931_cov_65.922085__full",0.0195537228137344,0.0283282795457666,0.056747259985364,0,0,0,0,0,0,0.0182856256891476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_50_length_55711_cov_72.358700__full",0.00217877123993017,0.00392901292859039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_60_length_51924_cov_52.439402__full",0.0282568639143056,0.0251301408233535,0.0253325103947645,0,0,0,0,0,0,0.0191481561982158,0,0,0,0,0,0.0192676684188579,0.0199438061060033,0,0,0,0,0.0441511199451715,0,0.0215285310746663,0,0.0727565593309453,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_61_length_51656_cov_98.863355__full",0.0196036475891159,0.0181507116204263,0.00636608067862041,0,0,0,0,0,0,0.102016014611582,0,0,0.0396997785762387,0,0.0392975277706765,0.0744071007890865,0.163494805775292,0.0637816689409603,0,0,0,0.111733608551557,0,0.092347728656671,0,0.115213299307478,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_62_length_51641_cov_73.671433__full",0.00519876156313963,0.00603041715992821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_64_length_51279_cov_69.759809__full",0.00513369691948278,0.0063307028431172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_69_length_49797_cov_75.016459__full",0.00566035986005587,0.00573174534765832,0,0,0,0,0,0,0,0.00925692550196015,0,0,0,0,0,0.001121179756236,0.0212020948501031,0.132339858940374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_70_length_49574_cov_46.959616__full",0.00451956072849497,0.0059935915692484,0.00663425317097628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_78_length_47781_cov_49.813242__full",0.00842545538239217,0.0084514100482128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_89_length_43717_cov_51.133385__full",0.0205492598924062,0.0191485794872194,0,0,0,0,0,0,0,0,0,0,0,0,0.156100641349117,0.019840020609256,0.0161073064380362,0.0754042896822973,0,0,0,0.0685824516541308,0.293819102978224,0.0356087514826255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_91_length_43487_cov_48.136005__full",0.0153305582710416,0.0126900932842936,0.0907930003405011,0,0,0,0,0,0,0,0,0,0,0,0,0.0140736491658646,0.0161927904995387,0,0,0,0,0.128388976929493,0,0.0587880707055475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_96_length_41591_cov_135.443001__full",0.00792581162731785,0.0148238575060737,0.0316489811132526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_111_length_38212_cov_69.900165__full",0.0127137310965738,0.011001074565245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_115_length_37299_cov_41.177581__full",0.00178448595150353,0.0021004763278099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_118_length_36985_cov_60.762972__full",0.00900910791728278,0.00980676363833036,0.0534097476924834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_123_length_36114_cov_59.899820__full",0.0105261818458794,0.0125511750821498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_124_length_35977_cov_52.662830__full",0.00309729600710144,0.0055250472505045,0.018304147756158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_132_length_34458_cov_93.360575__full",0.0322140817519834,0.029710587443182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_134_length_33355_cov_56.191755__full",0.0123094310011433,0.00818104982148237,0,0,0,0,0,0,0,0.011863408991409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_135_length_33252_cov_43.910687__full",0.014912001306765,0.0161878860136341,0.0396219401578064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_136_length_33176_cov_52.261239__full",0.00711113471632266,0.0105424641814338,0.0397131150297728,0,0,0,0,0,0,0.117069037274202,0,0,0,0.3211374425786,0.0343206202272296,0.0453382296220014,0.100929512760398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_141_length_32564_cov_48.668258__full",0.0106980363046409,0.0103797807081771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_144_length_31859_cov_48.756927__full",0.00236332367929374,0.00164055624790687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_154_length_30541_cov_44.779548__full",0.00336678788585701,0.00323321873973753,0.0215781873113583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_155_length_30280_cov_66.805142__full",0.0404815329406193,0.040359388956056,0.043530215252797,0,0,0,0,0,0,0.0364364447885783,0,0,0,0,0,0.0277115221896987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_157_length_30222_cov_65.639943__full",0.0632204842168657,0.0654687412310714,0.0545177136177903,0,0,0,0,0,0,0.0154385528143149,0.194108349927039,0,0,0,0,0.0222119747312021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_161_length_29821_cov_55.090135__full",0.0160750138752403,0.00897839969697691,0.0110509024796998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_170_length_28064_cov_39.625031__full",0.00361391861212575,0.0034284236318144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_174_length_27804_cov_79.409926__full",0.0492209183987406,0.0574927477677534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_176_length_27775_cov_109.787758__full",0.0639566276033075,0.0730471316452002,0.0593468504696875,0,0,0,0,0,0,0,0,0,0,0,0,0.0304258607191697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_177_length_27738_cov_319.613734__full",0.0244325880331426,0.0267607945137106,0.0475411531271494,0.66326244366559,0.714230042539,0,0,0,0,0.395889193521826,0,0,0,0,0.150647625317343,0.202140726123988,0.43791959535865,0.297696322402371,0,0,0,0.993071708801828,0,0.656866880971417,0,0.414868487557914,0.371019605512153,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_184_length_27060_cov_32.708802__full",0.00788576856051843,0.0104173964102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_185_length_27059_cov_39.220697__full",0.00358822505808546,0.00354419440828663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_191_length_26749_cov_65.791557__full",0.00341177721117573,0.00267709611986384,0.02465441001958,0,0,0,0,0,0,0.158067620121687,0,0,0,0,0,0.0418536112607928,0.189765243200883,0.370518281995495,0,0,0,0.174833269006057,0.440001636675802,0.132127494987281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_193_length_26363_cov_96.363197__full",0.0253560574118303,0.026357585853776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_209_length_25605_cov_67.207324__full",0.00351900883480817,0.0031692360241367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_211_length_25387_cov_46.730979__full",0.00701274955701245,0.00818416175600596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_216_length_25197_cov_95.543549__full",0.000747980087465252,0.00190383540438886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_219_length_24563_cov_122.295209__full",0.0195987642255198,0.0259489955598096,0,0,0,0,0,0,0,0.021226325975227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_221_length_24520_cov_30.003644__full",0.0184485272526582,0.0204875783389932,0.0134547127906984,0,0,0,0,0,0,0.0210521034881133,0,0,0,0,0,0.0225798361901534,0.0431932916596706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_222_length_24508_cov_52.059732__full",0.00532480010700248,0.00527982515860502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_228_length_23769_cov_181.862273__full",0.108939874451944,0.0904380605811286,0.194355344916492,0,0,0,0,0,0,0.0762833143413932,0,0,0,0,0,0.0305867711327718,0.0267400101710708,0,0,0,0,0,0,0,2.05058201399878,0.113101031407737,0.216683380084844,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_229_length_23768_cov_53.137648__full",0.0117037240680558,0.012114158324265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_232_length_23612_cov_55.262791__full",0.0123154919718123,0.0103839774331433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_233_length_23503_cov_64.863186__full",0.0179454409527115,0.0184843956377161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_240_length_23296_cov_33.517869__full",0.081125793885185,0.0833296899452466,0.0708311018766083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_243_length_23154_cov_71.475342__full",0.0227246872017627,0.0187688656749002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_245_length_23097_cov_45.979520__full",0.00037681462282342,0.000377830054620978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_257_length_22562_cov_41.488047__full",0.0067516684073746,0.00365204146663479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_258_length_22493_cov_45.215415__full",0.0152036144932103,0.0147632248421754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_259_length_22489_cov_38.213845__full",0.00236389415992294,0.00588546355946498,0.264203601862041,0,0,0,0,0,0,0.0323288838730775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_262_length_22258_cov_88.950043__full",0.0564765065924665,0.0559036505310575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_263_length_22225_cov_92.318133__full",0.0110981499245771,0.0112131547092909,0.0594140588265923,0,0,0,0,0,0,0.0197992571136924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_264_length_22221_cov_46.933369__full",0.00300357330712345,0.00333902255245289,0,0,0,0,0,0,0,0.0178480588150862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_265_length_22172_cov_68.576813__full",0.00300558203303437,0.00465738004058606,0.0595570522410914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_268_length_22112_cov_159.901831__full",0.0502989435588643,0.036514882338306,0.0298598794757613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_274_length_21736_cov_68.293063__full",0.00313782051343583,0.00903717655381934,0,0,0,0,0,0,0,0.104932169649955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_275_length_21715_cov_58.235242__full",0.0139668748693299,0.010424410906784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792791902740207,0.064849594755524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_277_length_21643_cov_111.880059__full",0.0265435825303294,0.0221667740793151,0,0,0,0,0,0,0,0.0365251575227909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_285_length_21073_cov_86.245494__full",0.0260957830295779,0.019544908862378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_291_length_20650_cov_61.921074__full",0.0211730251829065,0.02761229824282,0.0159946996551838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_292_length_20534_cov_72.539564__full",0.0338031924992597,0.0262863251335628,0.128685770371997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
