"","T0.E.Dry.soil.A","T0.E.Dry.soil.B","T0.E.Dry.soil.C","T1.E.H218O.A","T1.E.H218O.B","T1.E.H218O.C","T1.E.H218O.P.A","T1.E.H218O.P.B","T1.E.H218O.P.C","T1.E.H2O.A","T1.E.H2O.B","T1.E.H2O.C","T1.E.H2O.P.A","T1.E.H2O.P.B","T1.E.H2O.P.C","T2.E.H218O.A","T2.E.H218O.B","T2.E.H218O.C","T2.E.H218O.P.A","T2.E.H218O.P.B","T2.E.H218O.P.C","T2.E.H2O.A","T2.E.H2O.B","T2.E.H2O.C","T2.E.H2O.P.A","T2.E.H2O.P.B","T2.E.H2O.P.C","T3.E.H218O.A","T3.E.H218O.B","T3.E.H218O.C","T3.E.H218O.P.A","T3.E.H218O.P.B","T3.E.H218O.P.C","T3.E.H2O.A","T3.E.H2O.B","T3.E.H2O.C","T3.E.H2O.P.A","T3.E.H2O.P.B","T3.E.H2O.P.C"
"NODE_25908_length_3298_cov_11.928728",0.021002817727044,0.0266103409947391,0,0,0,0,0,0,0,0.0934787094393601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202326760152974,0,0,0,0,0,0,0,0,0,1.23756398109969,0,0,0,0,0
"NODE_2637_length_5026_cov_31.537447",0.0026388864107357,0.00237081384722373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_29669_length_2750_cov_5.817427",0.00220920105962011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_33782_length_2760_cov_7.697858",0.00220862460860539,0.00332186469760734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_34427_length_2512_cov_5.910485",0,0,0,0,0,0,0,0,0,0.0832886377730073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_36594_length_2610_cov_15.322581",0,0,0,0,0,0,0,0,0,0.0545211033311412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_43412_length_1526_cov_1.589348",0,0.00630092013310793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_51963_length_1805_cov_3.063306",0,0.00523871067189674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_59864_length_1860_cov_7.834753",0,0.00338014281920539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6344_length_3938_cov_19.412607",0.0208619989791639,0.0360898550435806,0,0,0,0,0,0,0,0.17332122773034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_7135_length_7293_cov_13.093272",0.000799809827574994,0.00121378503126744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_7864_length_2745_cov_109.586168",0.0164224285492866,0.019931049877443,0,1.466834893032,2.55538111516034,0,0,0,0,6.54688465576277,0,0,0.787967934833549,1.02176162923976,0,0.278699094694897,0.135211369514264,1.26594937700046,0,0,0,2.48752623655923,0,0.573723077554472,0,0.514707763440312,0,0,0,0,0,0,0,2.25193713389649,0,0,0,0,0
"NODE_79441_length_1362_cov_3.219319",0.00236111175440013,0.00159250973351905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_9088_length_4677_cov_4.245522",0.0012733620715335,0.000638396739564233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6_length_121281_cov_168.096665__full_1",0.0113574674429229,0.012002376397597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_12_length_97136_cov_53.423921__full",0.0258654980548373,0.0281675230979678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_19_length_79038_cov_85.620352__full",0.0552556708403314,0.0557183206381053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_21_length_77995_cov_70.244942__full",0.0130167343374436,0.0130222424934121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_29_length_66528_cov_77.461425__full",0.253415462869117,0.132771744403156,0,0,0,0,0,0,0,0,0,0,0,0,0.236503032708937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_34_length_63571_cov_98.927433__full",0.0429443962253179,0.0446786312488483,0,0,0,0,0,0,0,0.0511098203742546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_38_length_58139_cov_75.019125__full",0.0288276626209449,0.0362595695277742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_39_length_57931_cov_65.922085__full",0.0194835326970553,0.0282973769521891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_50_length_55711_cov_72.358700__full",0.0021589473983472,0.00389037292009996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_60_length_51924_cov_52.439402__full",0.0280393555645555,0.0253731586541026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_61_length_51656_cov_98.863355__full",0.0195125117130664,0.0182717488429062,0,0,0,0,0,0,0,0.102585066682222,0,0,0,0,0,0.0742990306659831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_62_length_51641_cov_73.671433__full",0.00505902191097152,0.00591154900225803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_64_length_51279_cov_69.759809__full",0.00533623432169238,0.0064126618058965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_69_length_49797_cov_75.016459__full",0.00555337261047859,0.0052431851486308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
